Time,Posicao,Pontos,Vitorias,Empates,Derrotas,Saldo,Aproveitamento
GRE,4,62,18,8,12,19,"54,39"
PAL,2,63,19,6,13,16,"55,26"
SAN,3,63,17,12,9,10,"55,26"
SAO,13,50,13,11,14,-1,"43,86"
VAS,7,56,15,11,12,-7,"49,12"
CAM,6,59,17,8,13,13,"51,75"
CAP,7,57,16,9,13,17,"50,00"
BOT,9,51,13,12,13,-8,"44,74"
COR,13,44,11,11,16,-1,"38,60"
CRU,8,53,14,11,13,0,"46,49"
FLA,2,72,21,9,8,30,"63,16"
FLU,12,45,12,9,17,-14,"39,47"
GRE,4,66,18,12,8,21,"57,89"
INT,3,69,19,12,7,22,"60,53"
PAL,1,80,23,11,4,38,"70,18"
SAN,10,50,13,11,14,6,"43,86"
SAO,5,63,16,15,7,12,"55,26"
VAS,16,43,10,13,15,-7,"37,72"
CAM,13,48,13,9,16,-4,"42,11"
CAP,5,64,18,10,10,19,"56,14"
BOT,15,43,13,4,21,-14,"37,72"
COR,8,56,14,14,10,8,"49,12"
CRU,17,36,7,15,16,-19,"31,58"
FLA,1,90,28,6,4,49,"78,95"
FLU,14,46,12,10,16,-8,"40,35"
GRE,4,65,19,8,11,25,"57,02"
INT,7,57,16,9,13,5,"50,00"
PAL,3,74,21,11,6,29,"64,91"
SAN,2,74,22,8,8,27,"64,91"
SAO,6,63,17,12,9,9,"55,26"
VAS,12,49,12,13,13,-16,"42,98"
CAM,3,68,20,8,10,19,"59,65"
CAP,9,53,15,8,15,2,"46,49"
BOT,20,27,5,12,21,-30,"23,68"
COR,12,51,13,12,13,0,"44,74"
FLA,1,71,21,8,9,20,"62,28"
FLU,5,64,18,10,10,13,"56,14"
GRE,6,59,14,17,7,13,"51,75"
INT,2,70,20,10,8,26,"61,40"
PAL,7,58,15,13,10,14,"50,88"
SAN,8,54,14,12,12,1,"47,37"
SAO,4,66,18,12,8,19,"57,89"
VAS,17,41,10,11,17,-19,"35,96"
CAM,1,84,26,6,6,33,"73,68"
CAP,14,47,13,8,17,-4,"41,23"
COR,5,57,15,12,11,4,"50,00"
FLA,2,71,21,8,9,33,"62,28"
FLU,7,54,15,9,14,0,"47,37"
GRE,17,43,12,7,19,-7,"37,72"
INT,12,48,12,12,14,2,"42,11"
PAL,3,66,20,6,12,15,"57,89"
SAN,10,50,12,14,12,-5,"43,86"
SAO,13,48,11,15,12,-8,"42,11"
CAM,7,58,15,13,10,8,"50,88"
CAP,6,58,16,10,12,0,"50,88"
BOT,11,53,15,8,15,-2,"46,49"
COR,4,65,18,11,9,8,"57,02"
FLA,5,62,18,8,12,21,"54,39"
FLU,3,70,21,7,10,22,"61,40"
INT,2,73,20,13,5,27,"64,04"
PAL,1,81,23,12,3,39,"71,05"
SAN,12,47,12,11,15,3,"41,23"
SAO,9,54,13,15,10,13,"47,37"
CAM,3,66,19,9,10,20,"57,89"
CAP,8,56,14,14,10,8,"49,12"
BOT,5,64,18,10,10,21,"56,14"
COR,13,50,12,14,12,-1,"43,86"
CRU,14,47,11,14,13,3,"41,23"
FLA,4,66,19,9,10,14,"57,89"
FLU,7,56,16,8,14,4,"49,12"
GRE,2,68,21,5,12,7,"59,65"
INT,9,55,15,10,13,1,"48,25"
PAL,1,70,20,10,8,31,"61,40"
SAN,17,43,11,10,17,-25,"37,72"
SAO,11,53,14,11,13,2,"46,49"
VAS,15,45,12,9,17,-10,"39,47"
